,Year,Population,Gas consumption,Coal consumption,Oil consumption,FossilFuelGrowth,CoalGrowth,GasGrowth,OilGrowth,AverageTemperature,AverageTemperatureUncertainty,TempMinus1,TempMinus2,TempMinus5,log_Gas,log_Coal,log_Oil,LandAverageTemperature,LandAverageTemperatureUncertainty,LandMaxTemperature,LandMaxTemperatureUncertainty,LandMinTemperature,LandMinTemperatureUncertainty,LandAndOceanAverageTemperature,LandAndOceanAverageTemperatureUncertainty
0,1980,3520742300.0,1019003960000.0,2315428970.0,2803656200.0,-937.5100000000001,568.843,15.45600000000001,-1521.806,15.9648485,0.27172178,,,,27.64984675632449,21.562860807534626,21.75419018804512,8.980333333333332,0.10666666666666667,14.672916666666666,0.15258333333333332,3.404666666666667,0.15008333333333332,15.491833333333332,0.05366666666666667
1,1981,3583075700.0,1007001190000.0,2364801500.0,2693236100.0,-955.931,264.40500000000003,-49.19800000000001,-1171.134,16.058908,0.2962352,15.9648485,,,27.63799791139218,21.58395992302107,21.71400931867448,9.165833333333333,0.08725,14.855166666666667,0.13891666666666666,3.6359166666666662,0.14741666666666667,15.516166666666669,0.052333333333333336
2,1982,3646517300.0,984638420000.0,2432822500.0,2615004600.0,-979.571,185.49599999999998,-230.43700000000007,-934.624,15.986446,0.29118952,16.058908,15.9648485,,27.615540324431418,21.612317942887096,21.684531693543967,8.639166666666666,0.08266666666666667,14.300916666666666,0.171,3.2399166666666663,0.2070833333333333,15.341916666666668,0.05475
3,1983,3710593700.0,971752330000.0,2541397200.0,2584808700.0,311.553,551.937,-118.796,-121.58500000000001,16.111572,0.2930336,15.986446,16.058908,,27.60236680441191,21.655979845479163,21.67291733829991,9.028166666666666,0.09399999999999999,14.679833333333335,0.11466666666666665,3.5524166666666663,0.12425000000000001,15.520249999999999,0.05583333333333334
4,1984,3777333600.0,1057065140000.0,2702477130.0,2648520400.0,2399.844,895.1969999999999,735.751,768.904,15.865528,0.28438306,16.111572,15.986446,,27.686517448164693,21.71743464490714,21.69726698139229,8.691833333333333,0.10258333333333332,14.342666666666666,0.13408333333333333,3.18675,0.13033333333333333,15.344166666666666,0.05716666666666667
5,1985,3846210100.0,1073513090000.0,2864156440.0,2653958300.0,968.97,970.534,61.939,-63.502,15.837643,0.29467607,15.865528,16.111572,15.9648485,27.701957647949637,21.775539707458062,21.69931806060036,8.658,0.09325,14.267166666666668,0.11966666666666666,3.1756666666666664,0.10541666666666666,15.340666666666666,0.05391666666666667
6,1986,3916121000.0,1064808580000.0,2912022650.0,2743546700.0,1157.716,276.56399999999996,-36.09199999999998,917.241,15.936502,0.2765336,15.837643,15.865528,16.058908,27.693816161846087,21.792113745409942,21.732517336370552,8.833583333333333,0.085,14.516833333333333,0.1205,3.3193333333333332,0.12825,15.384,0.05325
7,1987,3988082800.0,1117415160000.0,3057345890.0,2816492100.0,2121.008,935.856,526.1320000000001,659.019,16.171337,0.26272312,15.936502,15.837643,15.986446,27.74203924108902,21.840813020330504,21.75875801139541,8.994416666666666,0.08516666666666667,14.699833333333336,0.11075,3.431416666666667,0.14458333333333334,15.524500000000002,0.05333333333333334
8,1988,4060976000.0,1166108770000.0,3183591817.5,2927792500.0,2552.947,836.316,483.658,1232.973,16.276457,0.2527742,16.171337,15.936502,16.111572,27.784693484240233,21.881275898689122,21.79751456304792,9.201583333333334,0.08008333333333333,14.89,0.13366666666666668,3.654,0.11149999999999999,15.555750000000002,0.05325
9,1989,4131562800.0,1233739370000.0,3218605526.0,3002605300.0,1736.035,440.454,607.512,688.065,16.317383,0.2833683,16.276457,16.171337,15.865528,27.84107081164888,21.892214036242738,21.822746182077804,8.921999999999999,0.08800000000000001,14.6215,0.11183333333333333,3.3343333333333334,0.12916666666666668,15.441583333333334,0.05591666666666667
10,1990,4200976700.0,1240325060000.0,3199232566.7,3050522600.0,592.211,-44.58200000000001,308.957,327.83399999999995,16.562689,0.28827554,16.317383,16.276457,15.837643,27.846394606352746,21.88617679508373,21.838578757150277,9.234166666666667,0.08633333333333333,14.957666666666668,0.12983333333333333,3.65875,0.11975000000000001,15.629333333333333,0.05725
11,1991,4346403500.0,1366019230000.0,3588274763.1,3231984700.0,867.664,152.35299999999998,471.802,243.509,16.016611,0.24389021,16.562689,16.317383,15.936502,27.942921954576885,22.000937356555472,21.896362243683164,9.179416666666667,0.06208333333333333,14.839583333333335,0.10125,3.6221666666666668,0.10566666666666667,15.597999999999999,0.05508333333333334
12,1992,4683993600.0,2073444820000.0,4134134262.9,3725955400.0,780.331,10.266999999999987,66.41900000000004,703.6370000000001,14.718038,0.29311112,16.016611,16.562689,16.171337,28.360232504270062,22.142543775399933,22.038589139113213,8.836583333333333,0.08333333333333333,14.471333333333334,0.09899999999999999,3.2635,0.1025,15.453000000000001,0.058166666666666665
13,1993,4751563700.0,2136246730000.0,4154657297.39,3722056800.0,163.43999999999994,165.94899999999993,229.81,-232.31400000000008,14.510896,0.26230264,14.718038,16.016611,16.276457,28.39007154065532,22.147495782283002,22.0375422556626,8.866583333333333,0.08133333333333333,14.519750000000002,0.0785,3.2845833333333334,0.10633333333333332,15.466416666666667,0.059166666666666666
14,1994,4812298600.0,2129221060000.0,4192215207.7,3801156800.0,1128.9269999999997,180.53199999999998,129.13500000000002,819.258,15.049933,0.26026207,14.510896,14.718038,16.317383,28.386777329234985,22.156495120362113,22.058571278404695,9.03875,0.07091666666666667,14.72925,0.10925,3.3960833333333333,0.12675,15.534999999999998,0.05858333333333333
15,1995,4873091500.0,2183894962000.0,4304571209.6,3875198100.0,1318.643,199.60799999999998,678.476,440.56300000000005,14.94695,0.24877742,15.049933,14.510896,16.562689,28.412131078332294,22.182943366985036,22.077862621025652,9.347083333333334,0.07641666666666666,15.026416666666668,0.13258333333333333,3.7035,0.158,15.637833333333333,0.06041666666666667
16,1996,4933433000.0,2229983720000.0,4397396385.5,3991828000.0,2542.419,646.875,1021.638,873.9049999999999,14.479931,0.2493114,14.94695,15.049933,16.016611,28.4330154009255,22.20427847216082,22.107515108295047,9.038916666666667,0.08474999999999999,14.737250000000001,0.11791666666666667,3.3811666666666667,0.11241666666666666,15.524666666666667,0.0595
17,1997,4993099200.0,2235532310000.0,4327900733.5,4056028800.0,756.5289999999999,-42.10099999999999,-174.82899999999998,973.464,14.900671,0.26636294,14.479931,14.94695,14.718038,28.435500485658473,22.188348442344935,22.1234702038018,9.202583333333333,0.08858333333333333,14.868,0.12066666666666666,3.5901666666666663,0.1115,15.713833333333334,0.059166666666666666
18,1998,5051628400.0,2248264610000.0,4308377990.4,4099391900.0,381.53600000000006,-149.004,377.28499999999997,153.24900000000005,15.256991,0.25196052,14.900671,14.479931,14.510896,28.441179750107555,22.18382733389567,22.13410448258344,9.522666666666668,0.07391666666666666,15.169416666666665,0.10475,3.9491666666666667,0.12491666666666666,15.826,0.063
19,1999,5110804700.0,2308788300000.0,4336480033.3,4192458500.0,1603.64,193.837,672.215,737.595,15.267058,0.24283004,15.256991,14.900671,15.049933,28.46774395738561,22.19032880374289,22.15655315298414,9.285083333333334,0.07925,14.982750000000001,0.09675,3.662333333333333,0.1135,15.600333333333333,0.06333333333333334
20,2000,5168914300.0,2397643210000.0,4553035770.12,4262540800.0,2170.029,828.727,888.026,453.277,15.286782,0.26167762,15.267058,15.256991,14.94695,28.505507374975323,22.239060049652995,22.173131251357745,9.201166666666667,0.0835,14.898833333333334,0.12266666666666666,3.5818333333333334,0.11541666666666667,15.610666666666667,0.0635
21,2001,5224751400.0,2401179210000.0,4620818175.73,4292982400.0,1011.7230000000001,432.29699999999997,270.083,309.34,15.212595,0.26397917,15.286782,15.267058,14.479931,28.506981070115703,22.253837620674563,22.18024752648325,9.414583333333333,0.08741666666666666,15.159166666666666,0.10375000000000001,3.7406666666666664,0.12008333333333332,15.7675,0.06458333333333334
22,2002,5280483900.0,2509842310000.0,4740015729.5,4340406500.0,2102.935,1094.043,687.1560000000001,321.741,15.377521,0.26447257,15.212595,15.286782,14.900671,28.551241042397493,22.279306291107805,22.191233844267035,9.570416666666667,0.07241666666666667,15.312333333333333,0.12408333333333332,3.8645833333333335,0.11716666666666668,15.829166666666667,0.06291666666666666
23,2003,5337153700.0,2575515310000.0,5127172812.85,4428659900.0,4088.6310000000003,2528.479,652.9140000000001,907.241,15.241312,0.29766557,15.377521,15.212595,15.256991,28.577070750411185,22.357820235606685,22.21136286959605,9.525583333333334,0.09066666666666667,15.249333333333333,0.11375,3.8515833333333336,0.12616666666666668,15.826583333333334,0.06433333333333334
24,2004,5393134200.0,2648936800000.0,5572996742.0,4606191700.0,4643.544,2151.649,937.086,1554.811,15.150121,0.27056798,15.241312,15.377521,15.267058,28.605179467874226,22.441198760929296,22.250667257105405,9.324583333333333,0.08341666666666668,15.018,0.10908333333333332,3.6644166666666664,0.10591666666666666,15.757249999999999,0.06125
25,2005,5449196200.0,2718143300000.0,5944836616.0,4663917500.0,3688.942,2515.612,689.525,483.806,15.154312,0.25119188,15.150121,15.241312,15.286782,28.630970152857852,22.505788884121092,22.26312159715891,9.700916666666666,0.07516666666666667,15.349833333333335,0.11308333333333333,4.113833333333333,0.11208333333333333,15.879249999999999,0.06083333333333333
26,2006,5503821300.0,2807987500000.0,6281123170.22,4726676000.0,3050.71,1880.5720000000001,673.293,496.85499999999996,15.326454,0.2872456,15.154312,15.150121,15.212595,28.663489150515254,22.560814650196132,22.27648804399246,9.5325,0.09000000000000001,15.262,0.14958333333333332,3.8648333333333333,0.13833333333333334,15.8135,0.061
27,2007,5560803100.0,2908187400000.0,6592559050.2,4804681000.0,3827.6420000000003,2194.614,1094.34,538.695,15.456948,0.2521656,15.326454,15.154312,15.377521,28.69855111643956,22.609207433330212,22.292856487986867,9.732166666666666,0.08950000000000001,15.533083333333332,0.12883333333333333,4.00925,0.13716666666666666,15.827333333333334,0.05908333333333333
28,2008,5617899300.0,2991946300000.0,6722365277.1,4763964900.0,762.8460000000001,531.097,693.312,-461.568,15.286109,0.2563783,15.456948,15.326454,15.241312,28.726945228018753,22.628705905311463,22.284346120654135,9.43175,0.07891666666666666,15.191749999999999,0.1035,3.724833333333333,0.12983333333333333,15.72125,0.05725
29,2009,5673676600.0,2902559200000.0,6787239130.4,4712376100.0,-2063.064,-558.6719999999999,-586.8539999999999,-917.5370000000001,15.336614,0.26883334,15.286109,15.456948,15.150121,28.69661394652062,22.638310087640978,22.273458097597718,9.50525,0.08591666666666666,15.266583333333335,0.10775,3.7969166666666663,0.12599999999999997,15.827166666666665,0.058916666666666666
30,2010,5729765200.0,3174016200000.0,7305800371.7,4866602700.0,5350.160000000001,1837.8929999999998,2110.871,1401.398,15.289953,0.26557565,15.336614,15.286109,15.154312,28.786018841989495,22.711934441061718,22.305661933070596,9.703083333333334,0.08341666666666665,15.449,0.10341666666666667,4.023916666666667,0.11566666666666665,15.895499999999998,0.05858333333333333
31,2011,5785304800.0,3264771300000.0,7729972480.0,4904080400.0,3290.304,2019.35,768.7750000000001,502.18700000000007,15.255487,0.27581578,15.289953,15.336614,15.326454,28.814210830261803,22.768371139384165,22.3133334302257,9.516,0.08199999999999998,15.284833333333333,0.11433333333333333,3.827666666666666,0.13658333333333333,15.7695,0.059
32,2012,5842191500.0,3333059300000.0,7961497351.0,4973526400.0,1591.0549999999998,190.0669999999999,835.661,565.328,15.247377,0.36125988,15.255487,15.289953,15.456948,28.834911706875058,22.797882928534456,22.32739496267576,9.507333333333333,0.08341666666666668,15.332833333333333,0.10733333333333334,3.7561666666666667,0.14533333333333334,15.802333333333335,0.0615
33,2013,5898014800.0,3373866300000.0,8033213439.0,5051870600.0,1876.422,828.76,530.413,517.259,15.906935,0.45894316,15.247377,15.255487,15.286109,28.847080472711156,22.806850464057728,22.343024427488253,9.6065,0.09766666666666667,15.373833333333335,0.1155,3.9113333333333333,0.14983333333333335,15.854416666666667,0.06466666666666666
